Questionnaire,Organization Number,Organization Name,City,Country,CDP Region,C40 City,GCoM City,Access,Assessment attachment and/or direct link,Confirm attachment/link provided,Boundary of assessment relative to jurisdiction boundary,Year of publication or approval,Factors considered in assessment,Primary author(s) of assessment,Does the city have adaptation goal(s) and/or an adaptation plan?,Population,Population Year,City Location,Last update
Cities 2022,54113,"City of Flagstaff, AZ",Flagstaff,United States of America,United States of America,No,Yes,public,Flagstaff Vulnerability Assessment_4-20-18.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2018,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Consultant,Adaptation goal(s) and adaptation plan,76989,2021,POINT (-111.631 35.1992),02/17/2023 03:20:42 AM
Cities 2022,848259,Mongua,,Colombia,Latin America,No,Yes,public,https://repositorio.gestiondelriesgo.gov.co/bitstream/handle/20.500.11762/28461/PMGRD_MonguaBoyaca_2015.pdf?sequence=2&isAllowed=y,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",2015,A process has been established for prioritizing identified hazards,Consultant,Incomplete report,4926,2022,,02/17/2023 03:20:42 AM
Cities 2022,50545,"City of Henderson, NV",Henderson,United States of America,United States of America,No,No,public,2018 CC Hazard Mitigation Plan.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The Hazard Mitigation Plan includes all Clark County Nevada jurisdictions, which are as follows:  Las Vegas, North Las Vegas, Henderson, Mesquite, Boulder City, and unincorporated Clark County.",2018,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,331913,2021,,02/17/2023 03:20:42 AM
Cities 2022,13067,"City of New Orleans, LA",New Orleans,United States of America,United States of America,Yes,Yes,public,2020-City-of-New-Orleans-Hazard-Mitigation-Plan.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2020,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,383997,2020,POINT (-90.0715 29.9511),02/17/2023 03:20:42 AM
Cities 2022,13067,"City of New Orleans, LA",New Orleans,United States of America,United States of America,Yes,Yes,public,https://issuu.com/greaterneworleansfoundation/docs/2019.08.30_-_climate_action_equity_report_-_web,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,Assessment considers transition risks; Assessment considers vulnerable populations,Community group; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,383997,2020,POINT (-90.0715 29.9511),02/17/2023 03:20:42 AM
Cities 2022,50361,Ayuntamiento de Hermosillo,Hermosillo,Mexico,Latin America,No,Yes,public,https://www.mediafire.com/file/kwyd4dysl8d09fc/IDOM_Vulnerabilidad_HMO_20190529_S4URBA.pdf/file,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The study includes the entire municipality of Hermosillo (rural and urban areas) in the State of Sonora in Mexico, with a population of over 830,000 inhabitants in 2015.",2018,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; International organization,Adaptation goal(s) and adaptation plan,936263,2020,POINT (-110.961 29.0892),02/17/2023 03:20:42 AM
Cities 2022,848126,La Democracia,,Guatemala,Latin America,No,Yes,public,IMG-20220719-WA0033.jpg,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2021,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Dedicated team within jurisdiction,Adaptation goal(s),28218,2022,,02/17/2023 03:20:42 AM
Cities 2022,31117,"City of Toronto, ON",Toronto,Canada,Canada,Yes,Yes,public,https://www.toronto.ca/wp-content/uploads/2022/05/8f66-Heat-Relief-Strategy-2022.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2022,Assessment considers vulnerable populations; Assessment includes a high-emissions scenario,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,2794356,2021,POINT (-79.3832 43.6532),02/17/2023 03:20:42 AM
Cities 2022,35883,"City of San José, CA","San José, CA",United States of America,United States of America,No,Yes,public,https://sustainability.sccgov.org/sites/g/files/exjcpb976/files/documents/1_150803_Final%20Guidebook_W_Appendices.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This report covers all of our county (Santa Clara County).",2015,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,Consultant; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,976482,2022,POINT (-121.886 37.3382),02/17/2023 03:20:42 AM
Cities 2022,69834,Municipalidad de General Alvear (Mendoza),"General Alvear, Buenos Aires",Argentina,Latin America,No,Yes,public,General Alvear PLAC.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2019,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment includes a high-emissions scenario,"Dedicated team within jurisdiction; Other, please specify: Asociación civil Red Argentina de Municipios frente al Cambio Climàtico",Adaptation goal(s) and adaptation plan,50693,2019,POINT (-67.6955 -34.978),02/17/2023 03:20:42 AM
Cities 2022,31180,Región Metropolitana de Santiago,Santiago,Chile,Latin America,Yes,Yes,public,Informe_Final_CCG-UC_CambioClimatico_Santiago_RM.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2017,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s),8310984,2022,POINT (-70.6693 -33.4489),02/17/2023 03:20:42 AM
Cities 2022,15014,City of Prague,Prague,Czechia,Europe,No,Yes,public,https://adaptacepraha.cz/en/observed-and-projected-climate-change-effects-in-prague/,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2017,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,1274562,2021,POINT (14.4378 50.0755),02/17/2023 03:20:42 AM
Cities 2022,31179,Municipality of Rotterdam,Rotterdam,Netherlands,Europe,Yes,Yes,public,https://rotterdamsweerwoord.nl/app/uploads/2022/03/DEF_klimaatopgaven-2030-in-kaart_toegankelijk_WT3.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2022,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers water security; Other, please specify: Assessment considers 6 climate themes: flooding risk due to sea/rivers, flooding risk due to extreme rainfall, heat, drought, groundwater and soil subcidence",Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,651269,2021,POINT (4.45093 51.9164),02/17/2023 03:20:42 AM
Cities 2022,31117,"City of Toronto, ON",Toronto,Canada,Canada,Yes,Yes,public,"Go https://pievc.ca/ see tab ""The Protocol"", then click ""Assessments"" and search for studies that were done in Ontario; various reports mention Toronto.",The assessment can be accessed (unrestricted) on the link provided,"Smaller - covers only part of the jurisdiction, please explain exclusions: Multiple reports prepared using the PIEVC (see explanation) for projects and areas within the jurisdiction of Toronto.",2012,"Other, please specify: Multiple climate vulnerability assessments done in the Toronto area that considered infrastructure vulnerability.",Consultant,Adaptation goal(s) and adaptation plan,2794356,2021,POINT (-79.3832 43.6532),02/17/2023 03:20:42 AM
Cities 2022,54111,"City of Iowa City, IA",Iowa City,United States of America,United States of America,No,Yes,public,Climate Vulnerability and Adaptation Report Johnson County FINAL 4.22.2022.pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers the jurisdictional boundary of Johnson County",2021,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,75849,2020,POINT (-91.5302 41.6611),02/17/2023 03:20:42 AM
Cities 2022,57347,Pingtung County Government,Pingtung County,"Taiwan, China",East Asia,No,No,public,"林成川-大潮州地下水補注湖簡報(國庫署版)(1).pdf, 林邊溪伏流水示範場址開發計畫書.pdf",The assessment has been attached,Same - covers entire jurisdiction and nothing else,2020,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,803023,2022,POINT (120.47 22.6558),02/17/2023 03:20:42 AM
Cities 2022,54345,City Government of Davao,Davao,Philippines,Southeast Asia,No,No,public,https://cpdo.davaocity.gov.ph/wp-content/uploads/2016/10/Vol1CLUP2013-202220151215084007.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2013,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,1776949,2020,POINT (125.625 7.07475),02/17/2023 03:20:42 AM
Cities 2022,53899,"City of Worcester, MA",Worcester,United States of America,United States of America,No,No,public,"2019 Hazard Mitigation Plan.pdf, 2019 MVP.pdf",The assessment has been attached,Same - covers entire jurisdiction and nothing else,2019,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations,Consultant; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,205918,2021,,02/17/2023 03:20:42 AM
Cities 2022,894050,Catriel,,Argentina,Latin America,No,Yes,public,Estrategia Local de Adaptación Catriel - vF.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment includes a high-emissions scenario,"Dedicated team within jurisdiction; Other, please specify: RAMCC - Asociación Civil Red Argentina de Municipios frente al Cambio Climático",Adaptation goal(s) and adaptation plan,21432,2019,,02/17/2023 03:20:42 AM
Cities 2022,54104,"City of Boulder, CO",Boulder,United States of America,United States of America,No,Yes,public,https://www-static.bouldercolorado.gov/docs/Vulnerabilities_Assessment_FINAL-1-202006041608.pdf?_ga=2.114581188.2139300373.1594668622-598552937.1574204028,The assessment can be accessed (unrestricted) on the link provided,"Smaller - covers only part of the jurisdiction, please explain exclusions: Chautauqua National Historic Landmark District (NHL)",2020,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Consultant,Adaptation goal(s) and adaptation plan,108250,2021,POINT (-105.252 40.0274),02/17/2023 03:20:42 AM
Cities 2022,59535,"Town of Vail, CO",Vail,United States of America,United States of America,No,No,public,https://www.resilienteaglecounty.com/,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This risk assessment covers the entire county beyond the Town of Vail itself.",2019,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Consultant,Adaptation goal(s) and adaptation plan,5377,2022,POINT (-106.374 39.6403),02/17/2023 03:20:42 AM
Cities 2022,73810,"Miami-Dade, FL",,United States of America,United States of America,No,Yes,public,sea-level-rise-and-storm-surge-rapid-action-plan.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2018,A process has been established for prioritizing identified hazards; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,2662777,2021,,02/17/2023 03:20:42 AM
Cities 2022,54521,BCP Council,Bournemouth,United Kingdom of Great Britain and Northern Ireland,Europe,No,Yes,public,BCP CRAFT_Questionnaire_CDP_v3 2022.xlsx,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,197000,2022,POINT (-1.88076 50.7192),02/17/2023 03:20:42 AM
Cities 2022,894138,Nam Dinh,,Viet Nam,Southeast Asia,No,Yes,public,Chuan_Final 2022.05.16_Nam Dinh_CRVA Tool_v0.1_VN (28.10).xlsx,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment considers water security,Dedicated team within jurisdiction,Adaptation goal(s),236365,2021,,02/17/2023 03:20:42 AM
Cities 2022,840122,Siliguri Municipal Corporation,Siliguri,India,South Asia,No,Yes,public,,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2018,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario,"Other, please specify: ICLEI South Asia",Adaptation plan,689675,2021,POINT (88.4103 26.7323),02/17/2023 03:20:42 AM
Cities 2022,54124,"City of Fremont, CA",Fremont,United States of America,United States of America,No,Yes,public,Local Hazard Mitigation Plan.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2017,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,Consultant,Adaptation goal(s) and adaptation plan,230504,2020,POINT (-121.989 37.5483),02/17/2023 03:20:42 AM
Cities 2022,54109,"City of Bloomington, IN",Bloomington,United States of America,United States of America,No,Yes,public,Bloomington Climate Risk and Vulnerability Assessment May 2020.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2020,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Consultant,Adaptation goal(s) and adaptation plan,84691,2020,POINT (-86.5264 39.1653),02/17/2023 03:20:42 AM
Cities 2022,50555,"City of Hamilton, ON",Hamilton,Canada,Canada,No,Yes,public,https://pub-hamilton.escribemeetings.com/filestream.ashx?DocumentId=325830,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2021,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,International organization,Adaptation goal(s) and adaptation plan,578000,2020,POINT (-79.8661 43.25),02/17/2023 03:20:42 AM
Cities 2022,36223,Antananarivo,Antananarivo,Madagascar,Africa,No,No,public,https://www.preventionweb.net/publication/madagascar-strategie-nationale-de-gestion-des-risques-et-des-catastrophes-2016-2020,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",2020,,Consultant; International organization; National/ central government,Adaptation goal(s),1275000,2019,POINT (47.5237 -18.905),02/17/2023 03:20:42 AM
Cities 2022,848476,Municipalidad de Cañas,,Costa Rica,Latin America,No,Yes,public,PLAN CANTONAL DE EMERGENCIAS DE CAÑAS 2019 PDF.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Regional/ state/ provincial government,Adaptation goal(s),26201,2011,,02/17/2023 03:20:42 AM
Cities 2022,73295,"City of La Crosse, WI",La Crosse,United States of America,United States of America,No,Yes,public,https://view.publitas.com/palebluedot/city-of-la-crosse-climate-change-vulnerability-assessment/page/1,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2022,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,Consultant,Adaptation plan,52680,2020,POINT (-91.2476 43.8166),02/17/2023 03:20:42 AM
Cities 2022,834120,City of Tanjungpinang,,Indonesia,Southeast Asia,No,Yes,public,Percentage of emissions reduction (including offsets and carbon dioxide removal),The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,Assessment considers vulnerable populations,Consultant; Dedicated team within jurisdiction; National/ central government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,227757,2021,,02/17/2023 03:20:42 AM
Cities 2022,863001,Puerto Varas,,Chile,Latin America,No,No,public,"INFORME FINAL TAREA 01.pdf, INFORME FINAL TAREA 02.pdf",The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: El documento corresponde a la evaluación de la huella urbana actual e histórica de la conurbación Puerto Montt-Puerto Varas, comunas cercanas geográficamente  y cuyo crecimiento urbano se proyecta como una futura área metropolitana.",2016,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario,Consultant,Adaptation goal(s),44578,2017,,02/17/2023 03:20:42 AM
Cities 2022,55799,"Arlington, VA",Arlington,United States of America,United States of America,No,Yes,public,https://www.arlingtonva.us/Government/Projects/Plans-Studies/Water-Utilities/Water-Distribution-Master-Plan,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2014,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,234200,2021,POINT (-76.0026 37.2265),02/17/2023 03:20:42 AM
Cities 2022,60332,Prefeitura de São Carlos,,Brazil,Latin America,No,No,public,RELATORIO_IPT_MAPA_RISCOS_SAO CARLOS_2015 LowRes.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2015,Assessment considers nature; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Incomplete report,256915,2017,,02/17/2023 03:20:42 AM
Cities 2022,10806,London Borough of Enfield,,United Kingdom of Great Britain and Northern Ireland,Europe,No,No,public,https://www.london.gov.uk/sites/default/files/london_city_resilience_strategy_2020_digital_0.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Refers to Greater London",2020,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Question not applicable,Adaptation goal(s) and adaptation plan,333587,2020,,02/17/2023 03:20:42 AM
Cities 2022,54345,City Government of Davao,Davao,Philippines,Southeast Asia,No,No,public,12308706.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2016,,,Adaptation goal(s) and adaptation plan,1776949,2020,POINT (125.625 7.07475),02/17/2023 03:20:42 AM
Cities 2022,59588,"Town of Chapel Hill, NC",Chapel Hill,United States of America,United States of America,No,No,public,https://www.tjcog.org/focus-areas-resilience/triangle-regional-resilience-partnership,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The boundary for this study reflects the size and scale of the regional partnership.",2018,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Consultant; Dedicated team within jurisdiction; Other, please specify: Dedicated teams within partnering local governments; Regional/ state/ provincial government",Adaptation goal(s) and adaptation plan,61128,2021,POINT (-79.0558 35.9132),02/17/2023 03:20:42 AM
Cities 2022,31182,"City of San Francisco, CA",San Francisco,United States of America,United States of America,Yes,Yes,public,https://default.sfplanning.org/Citywide/Islais/IslaisCreek_FinalReport_August2021.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2021,Assessment considers nature; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group; Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,873965,2020,POINT (-122.419 37.7749),02/17/2023 03:20:42 AM
Cities 2022,31108,"City of Houston, TX",Houston,United States of America,United States of America,Yes,Yes,public,Climate-Impact-Assessment-2020-August.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The climate trends and projections described in this assessment are based on long-term observations of daily maximum and minimum temperature at 11 individual long-term weather stations across the Greater Houston area.",2020,A process has been established for prioritizing identified hazards; Assessment considers transition risks; Assessment considers water security; Assessment includes a high-emissions scenario,Consultant,Adaptation goal(s) and adaptation plan,2304580,2020,POINT (-95.3694 29.7602),02/17/2023 03:20:42 AM
Cities 2022,35877,"City of Pittsburgh, PA",Pittsburgh,United States of America,United States of America,No,Yes,public,http://pittsburghpa.gov/onepgh/index.html,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2016,,,Adaptation goal(s) and adaptation plan,301286,2020,POINT (-79.9959 40.4406),02/17/2023 03:20:42 AM
Cities 2022,59669,"City of North Vancouver, BC",North Vancouver,Canada,Canada,No,Yes,public,https://www.cnv.org/your-government/living-city/climate-action/climate-change-adaptation,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2013,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,58120,2021,POINT (-123.072 49.32),02/17/2023 03:20:42 AM
Cities 2022,43910,"City of Columbus, OH",Columbus,United States of America,United States of America,No,Yes,public,Climate Risk & Vulnerability FINAL_ColumbusFinalReport_3.0.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2016,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,909686,2021,POINT (-82.9988 39.9612),02/17/2023 03:20:42 AM
Cities 2022,54345,City Government of Davao,Davao,Philippines,Southeast Asia,No,No,public,http://cpdo.davaocity.gov.ph/index.php/downloads/,The assessment has been attached,"Smaller - covers only part of the jurisdiction, please explain exclusions",2013,,,Adaptation goal(s) and adaptation plan,1776949,2020,POINT (125.625 7.07475),02/17/2023 03:20:42 AM
Cities 2022,845301,Montes de Oca,,Costa Rica,Latin America,No,Yes,public,Informe EAE Cantón de MONTES DE OCA Zonificación de Fragilidad Ambiental ABRIL 2013 FINAL con logo.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2013,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,41132,2011,,02/17/2023 03:20:42 AM
Cities 2022,49367,Freetown City,Freetown,Sierra Leone,Africa,Yes,No,public,20220606 Freetown_ CRA_Impact & Risk Assessment_FINAL for CAP.pptx,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group; Consultant; Dedicated team within jurisdiction; International organization; National/ central government; Relevant department within jurisdiction,Adaptation goal(s),1200000,2015,POINT (-13.2317 8.4657),02/17/2023 03:20:42 AM
Cities 2022,35885,Tel Aviv-Yafo Municipality,Tel Aviv-Yafo,Israel,Middle East,Yes,No,public,https://crcl.columbia.edu/sites/default/files/content/Tel%20Aviv/CRCL_TLV_Report_WEB-compressed.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",2019,,,Adaptation goal(s) and adaptation plan,463810,2020,POINT (34.7823 32.0816),02/17/2023 03:20:42 AM
Cities 2022,50208,Adana Metropolitan Municipality,Adana,Turkey,Europe,No,Yes,public,http://tuba.gov.tr/files/yayinlar/raporlar/klim%20De%C4%9Fi%C5%9Fikli%C4%9Fi%20ve%20Halk%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Raporu.pdf,"Other, please specify: double check link","Smaller - covers only part of the jurisdiction, please explain exclusions",2020,,,Adaptation goal(s),0,,POINT (35.334 36.995),02/17/2023 03:20:42 AM
Cities 2022,14874,"City of Portland, OR","Portland, OR",United States of America,United States of America,Yes,Yes,public,https://www.portland.gov/sites/default/files/2019-07/risk-vulnerabilities-assessment-press.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: County scale",2014,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,829560,2020,POINT (-122.682 45.52),02/17/2023 03:20:42 AM
Cities 2022,13506,Nottingham City Council,Nottingham,United Kingdom of Great Britain and Northern Ireland,Europe,No,Yes,public,ADAPTATION_ACTION_PLAN.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2011,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,337098,2020,,02/17/2023 03:20:42 AM
Cities 2022,848122,Alajuela,,Costa Rica,Latin America,No,Yes,public,"COMPENDIO DE INFORMACIÓN Y BASE DE DATOS DE LA MUNICIPALIDAD DE ALAJUELA_ DIAGNÓSTICO .pdf, CONTRATACIÓN DIRECTA N°2018CD-000002-01_Informe final_ Municipalidad Alajuela.pdf, Plan_de_Emergencias_Dulce_Nombre_y_Laguna.pdf, Plan_de_Emergencias_Poasito_y_Fraijanes_(1).pdf",The assessment has been attached,"Smaller - covers only part of the jurisdiction, please explain exclusions",2015,,,Adaptation goal(s),297879,2016,,02/17/2023 03:20:42 AM
Cities 2022,54104,"City of Boulder, CO",Boulder,United States of America,United States of America,No,Yes,public,https://assets.bouldercounty.org/wp-content/uploads/2018/04/resilient-analytics-report-impacts-of-climate-change-boulder-county-colorado.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Prepared for Boulder County, which includes all of the City of Boulder, additional municipalities, and unincorporated areas.",2018,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,Consultant,Adaptation goal(s) and adaptation plan,108250,2021,POINT (-105.252 40.0274),02/17/2023 03:20:42 AM
Cities 2022,60367,Alcaldía de Neiva,,Colombia,Latin America,No,No,public,Riesgos y Amenazas.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Question not applicable,Adaptation goal(s) and adaptation plan,357392,2018,,02/17/2023 03:20:42 AM
